"weekend","num.child","distance","rides","games","wait","clean","overall"
"yes",0,11.3523118634546,79,85,69,87,33
"no",1,61.3694774725346,83,78,74,87,52
"yes",3,60.5472916034321,84,72,77,88,49
"yes",1,35.4251121291397,82,73,58,89,50
"no",0,11.7191218595546,82,72,59,81,20
"yes",0,15.5536270932886,82,87,71,88,38
"no",2,32.728418977943,94,85,74,93,75
"no",0,57.2519604809006,83,76,82,87,44
"yes",5,6.29800325668162,94,87,78,87,59
"yes",0,33.1357931686056,87,77,81,93,43
"yes",2,58.1277048315263,90,94,86,91,72
"yes",0,6.13190594623291,87,80,74,92,58
"yes",2,7.35286848519226,72,70,45,78,25
"yes",0,39.7428613016746,92,89,68,93,60
"yes",0,18.3407046741786,84,81,71,89,39
"no",3,18.044345520101,85,85,74,92,54
"no",1,4.30626711676219,92,93,67,97,72
"no",4,12.3306519217369,80,80,53,81,24
"no",1,2.78253496453577,84,77,61,83,44
"yes",4,20.8075809531052,80,75,72,84,43
"yes",2,3.18529887438328,80,84,81,84,76
"yes",2,20.0742785579541,85,74,75,85,64
"no",0,16.2085896817693,86,80,76,93,40
"no",0,14.7432166836164,90,80,64,90,55
"yes",0,11.9799185288398,87,78,71,90,40
"yes",1,18.9170956674992,95,87,80,95,73
"yes",2,52.3265064813865,81,74,81,86,58
"yes",0,3.99542108839212,84,73,76,85,36
"yes",0,5.68203895202834,85,87,62,85,37
"no",4,12.0273289642583,77,84,69,84,53
"no",2,27.6330211181864,92,90,74,90,69
"no",3,12.5469720014094,92,85,81,93,76
"yes",0,15.0491832827806,83,87,68,87,32
"yes",1,11.8714316430373,89,76,68,89,57
"no",0,49.3030903552549,94,70,65,91,52
"no",0,47.3937541654127,84,77,62,85,38
"no",5,22.4592172612071,88,79,76,88,61
"no",0,82.1890904863194,81,67,58,84,28
"no",0,11.5604799833636,95,86,61,98,50
"yes",2,46.9816420205851,85,70,56,86,34
"no",2,95.67351656578,82,72,57,82,42
"no",2,10.7290616861942,76,88,73,82,56
"yes",5,16.0964987378492,84,80,56,85,36
"yes",2,0.526722785032693,77,78,71,80,32
"yes",1,2.92255381492077,86,82,61,90,39
"no",3,12.6314981412092,94,71,89,93,75
"yes",0,11.8955039401081,76,77,51,77,6
"yes",4,7.83139732788847,79,68,47,79,30
"yes",1,12.9687358090199,88,78,53,95,44
"no",0,76.4842109202676,84,75,69,88,43
"no",2,13.9701354432599,88,80,65,91,70
"no",0,9.0330374741609,77,59,47,78,24
"yes",3,93.04609189497,81,73,57,83,51
"yes",0,29.0070935785327,80,78,74,86,30
"yes",0,24.8136011261008,94,82,62,96,42
"yes",3,48.9891767978224,87,83,58,92,48
"no",2,2.2623768104043,93,86,65,95,71
"no",3,29.7216772434509,85,95,73,90,58
"no",3,48.7898131423744,85,85,60,92,47
"yes",2,3.21303841937317,82,69,60,79,31
"yes",2,57.6322086539371,76,76,73,82,49
"no",3,20.4706243173963,77,74,77,83,48
"yes",0,157.563064968531,77,64,50,80,30
"no",1,20.6724959596036,84,72,71,85,67
"no",4,15.4365582411474,93,83,52,91,53
"yes",2,21.6170867016925,84,76,83,87,67
"yes",5,11.8046273979272,82,83,70,89,76
"yes",1,30.4702829401459,90,77,73,91,64
"no",3,4.10289596790917,89,69,66,93,59
"no",0,12.1829476070714,89,80,74,87,53
"yes",4,7.67961521228788,77,65,70,79,47
"no",0,1.79419136405787,87,73,56,85,33
"yes",1,5.04504683814871,92,72,86,94,82
"no",4,13.277906007766,89,73,74,91,86
"yes",2,9.91189402514697,86,68,58,82,44
"no",3,18.9116782829092,93,86,78,91,67
"no",5,11.3168541043659,89,87,73,91,63
"no",4,34.7777899280854,83,78,64,86,56
"no",0,7.3356790069113,83,60,78,85,40
"no",1,17.9469607445,95,91,79,89,69
"yes",3,8.44641873301461,91,88,59,88,55
"yes",2,5.3740507890237,88,94,76,94,81
"yes",1,112.578082061961,84,70,79,86,57
"no",0,45.3901464958646,84,67,49,84,25
"no",0,6.02640929999334,90,67,72,85,39
"no",4,4.9060647745274,92,78,81,93,66
"yes",2,8.64618184247951,83,73,43,77,19
"yes",3,20.9450814625312,82,86,74,86,48
"no",0,161.91185379121,84,87,64,86,46
"yes",5,12.341780693888,91,85,83,96,74
"no",1,30.3510450603975,97,95,60,93,57
"yes",2,15.7171957958234,77,74,68,76,38
"no",3,7.72886884062571,97,84,56,96,66
"no",1,79.499904860101,92,87,71,94,62
"no",1,19.3633061781105,93,76,75,91,67
"no",3,9.23521507743001,93,88,60,100,75
"no",0,40.9364999824514,82,70,58,85,35
"no",0,15.034067079131,94,83,80,92,44
"yes",0,3.24660558713734,85,72,72,89,43
"yes",4,27.6506167402055,89,86,68,88,55
"no",3,24.9872272830672,91,84,66,89,60
"yes",2,43.6186929456776,80,71,71,82,70
"no",2,15.8671432158052,78,75,58,79,49
"no",1,63.2914096122976,81,72,67,88,52
"yes",0,9.20530046899035,87,95,68,92,53
"no",4,2.28080898818506,95,81,59,94,53
"no",2,16.224018713555,84,82,73,85,65
"no",2,9.57394880212956,89,87,64,95,69
"yes",5,62.801138769039,79,75,78,81,53
"no",2,4.77015689805121,86,98,82,87,75
"no",2,18.9623421636756,86,77,63,84,42
"yes",3,13.4748642508569,82,81,61,88,43
"yes",3,6.60325718273089,79,65,73,81,46
"yes",3,21.7339637605475,87,83,57,90,49
"yes",3,12.6600526868027,89,78,60,93,56
"no",2,39.1804237854812,94,87,83,95,82
"no",4,8.35331497238194,93,82,77,90,64
"no",3,40.4642378497831,88,71,64,87,41
"no",0,16.2781458219262,86,88,64,90,52
"no",2,47.6101394724292,90,94,81,92,80
"no",2,62.2609766801349,90,82,68,88,55
"no",2,17.5185561129081,96,71,88,91,68
"yes",2,39.3571017750975,78,66,56,80,30
"yes",3,19.5014666622349,86,73,64,92,52
"no",0,75.8137885725932,98,82,74,97,53
"yes",0,47.933962464534,87,87,79,86,53
"yes",5,10.7004036878888,89,86,58,93,58
"no",0,8.07833020577867,83,59,75,81,36
"no",4,26.6314320110034,86,84,72,91,65
"no",2,84.1426567789227,87,83,62,90,53
"no",0,7.6615610728489,87,79,91,87,41
"yes",0,31.8029042560993,84,68,76,85,34
"no",1,40.3841404082297,80,81,55,81,34
"no",2,4.74798450904428,79,74,73,78,45
"no",0,32.1590121974466,92,82,62,93,42
"yes",1,12.6055988406155,88,82,58,91,66
"no",2,116.341607225972,85,80,64,86,44
"no",2,22.1758869545936,90,84,58,95,59
"yes",0,6.69579711222272,86,71,73,90,29
"no",0,44.2739946381777,80,72,64,85,45
"no",1,38.9209485800262,80,72,69,85,49
"no",1,12.7976710520246,75,71,51,80,16
"no",1,53.6611336171396,94,84,72,96,73
"no",0,5.66619404861861,85,69,74,85,39
"no",1,239.192133707289,85,82,63,87,52
"yes",4,7.81567935812868,88,77,62,85,53
"no",2,12.7325973180368,87,88,81,85,68
"no",0,52.9661443155499,82,80,65,85,28
"yes",1,30.1590991694024,92,80,72,89,55
"no",2,17.8587518349809,79,82,60,83,25
"no",2,1.61882405239398,78,69,67,81,44
"no",2,21.7263297088858,79,74,67,83,46
"no",3,37.354992638808,86,88,88,90,71
"yes",3,2.72784176394713,89,78,88,87,82
"no",1,10.8854048625648,85,73,67,82,49
"no",2,60.7187117866978,75,68,64,85,47
"yes",4,5.00059564603928,90,80,62,87,66
"no",0,17.4931903755956,86,71,58,85,22
"yes",2,4.94479568514611,91,86,83,93,65
"yes",0,83.0688989405254,75,73,57,83,34
"no",3,6.80254956210569,93,93,86,100,90
"yes",0,15.4953249463591,84,73,67,91,39
"no",1,22.6047134995872,90,79,66,86,57
"yes",5,48.1786177676933,85,73,85,90,71
"no",2,16.3187182763328,79,69,62,87,47
"no",2,3.81327709302917,87,78,72,90,59
"yes",1,2.66280791445056,87,91,85,90,69
"no",2,9.0047545107813,85,69,41,83,32
"yes",2,12.1622250534206,84,81,73,88,59
"no",0,66.9937521520286,93,83,71,88,35
"yes",2,23.499314584602,100,95,84,99,96
"yes",2,57.59332212539,91,86,78,94,65
"yes",5,32.3262208801465,93,73,59,90,49
"yes",2,6.63248858306154,84,73,69,86,44
"no",4,31.0784746438265,83,85,69,84,54
"no",1,40.4681419046569,88,73,84,86,61
"no",1,19.5660188807358,88,78,77,86,69
"yes",2,79.2487298789019,82,72,68,81,46
"no",2,39.3412448831117,85,82,68,89,51
"yes",0,2.83214088829497,86,74,66,85,30
"yes",2,103.51652106278,84,80,71,86,48
"no",3,79.7227811115739,82,78,63,84,46
"no",0,4.63958351976062,80,86,63,83,28
"yes",2,29.3022381300959,98,82,79,98,86
"yes",2,29.6658302758773,86,77,82,91,59
"no",0,14.7208247851,88,74,47,91,42
"no",3,51.7030833363563,77,72,58,81,43
"no",0,12.6888591615198,88,75,77,87,40
"yes",0,74.9491027756431,85,94,82,90,43
"no",2,15.0616455805498,86,81,68,88,54
"yes",2,83.849554797411,84,69,61,85,52
"yes",0,10.4844900052874,84,75,59,86,29
"no",4,58.0236659218122,82,76,79,90,54
"yes",0,5.48104283150623,82,78,72,78,30
"yes",0,19.9071875731477,79,70,53,79,6
"yes",0,52.6713396552874,77,64,65,78,25
"no",2,3.82354072018016,78,82,65,86,41
"no",4,71.0819172250636,88,79,71,86,62
"yes",3,34.5839375472222,80,61,56,82,34
"no",5,7.56753278772379,85,78,83,90,64
"yes",3,10.0419971060218,91,77,68,94,67
"no",0,10.0698568428552,88,69,61,87,40
"no",2,12.5382371223148,81,88,64,83,51
"yes",0,28.6829283652782,79,66,71,87,36
"yes",1,29.305873398512,87,76,61,88,55
"no",4,60.6328623865461,92,71,80,95,65
"no",2,53.6705171085997,75,75,61,81,39
"yes",1,16.6872113774449,80,72,74,85,55
"yes",2,53.0608417841263,94,90,92,99,77
"yes",0,11.8932468033488,80,73,57,82,27
"yes",2,37.4076974708245,90,83,81,97,85
"no",3,7.2153812059215,81,75,69,85,38
"no",0,11.7447426106819,98,83,63,92,45
"no",0,5.71622295369,84,78,82,86,41
"no",1,7.00048675313314,86,85,76,84,45
"yes",1,6.66036112384727,86,77,61,90,48
"no",2,7.57473046406484,89,79,75,96,66
"no",2,28.7963579414319,91,90,57,94,50
"yes",2,46.311876600901,90,72,69,94,65
"no",2,91.1671605472911,79,75,64,84,47
"no",0,11.8837005143297,89,80,78,92,63
"no",2,6.94431620250211,88,89,60,91,55
"no",2,37.7422655609071,88,92,69,87,46
"no",1,65.9276799374492,75,68,59,75,17
"no",2,55.5117648044159,90,79,58,93,64
"yes",3,13.1876815888554,94,91,81,95,79
"yes",5,11.1490296330338,85,88,56,89,43
"yes",2,13.4536804713751,87,84,75,91,51
"yes",2,6.7342112862198,88,72,80,92,59
"yes",0,5.10664800797867,79,77,73,81,36
"yes",1,45.6810267688059,86,89,80,91,69
"yes",0,33.1808477512205,90,89,79,92,53
"yes",1,5.59259499016796,85,70,72,87,57
"no",3,7.48021709604571,90,82,73,89,74
"no",0,11.8292855167429,85,77,53,86,34
"no",3,23.6191310947139,84,88,71,83,42
"no",2,13.3672235446037,79,80,65,86,53
"yes",2,161.118862465513,92,82,85,93,86
"no",0,7.40848260913015,87,74,56,85,35
"no",0,44.5443947471461,91,85,76,93,42
"yes",2,1.30530275254331,87,75,56,93,46
"no",5,11.5831717916737,90,80,67,88,44
"no",2,37.2651165238218,78,84,65,87,40
"yes",0,14.7570259768017,88,83,74,89,32
"yes",0,4.07289025035652,97,88,72,97,68
"no",0,16.8355808272361,89,68,67,90,36
"no",0,10.4770042996148,94,71,65,92,57
"yes",3,6.80344206780844,92,80,67,91,64
"yes",0,25.9424826276199,85,78,72,86,46
"yes",2,12.8432494032942,78,73,77,87,55
"no",2,42.4854022488662,84,80,68,85,54
"no",3,83.4107783268687,90,73,77,92,70
"no",1,4.44555278866767,89,83,83,94,76
"yes",3,85.8585103095737,77,73,56,79,21
"yes",3,9.02256194102736,83,73,57,88,45
"no",0,19.0758441493348,84,93,82,88,41
"no",2,16.451022467278,89,73,73,95,72
"no",2,34.5780501584502,86,81,73,87,51
"no",0,19.3434330492419,83,62,62,85,29
"yes",0,44.8278962846871,94,84,56,93,48
"yes",1,26.2656099550009,77,94,69,83,38
"yes",2,43.503812870852,90,74,72,91,70
"yes",0,57.7420831473191,82,77,44,87,43
"no",2,87.8410404962117,88,72,79,88,61
"no",1,29.484166119944,97,85,76,92,63
"yes",2,5.17028422047274,92,82,71,91,72
"yes",0,16.481153984847,89,85,75,89,41
"no",2,85.0180163200213,81,70,64,85,46
"yes",2,17.7252173393172,78,66,78,82,60
"yes",0,17.4073887914093,96,94,67,96,54
"yes",5,3.81455257749723,85,90,71,95,55
"no",1,52.8935616247756,83,76,66,82,43
"yes",3,12.1320171376369,97,87,65,92,60
"no",1,3.76701819950345,97,90,74,99,78
"no",1,29.2010301222696,82,78,67,89,52
"yes",4,13.4381485495441,83,73,77,83,47
"no",0,6.19272897874387,94,71,70,90,35
"no",3,25.1919496447034,83,71,66,85,43
"yes",3,7.65971032932778,90,85,92,91,80
"no",2,11.2067179997557,88,62,63,87,42
"yes",0,13.6339021835426,87,86,81,87,55
"yes",4,103.12011552018,87,77,57,85,47
"no",2,15.1331569468429,87,88,81,91,62
"yes",1,45.9648326658178,93,68,70,93,71
"no",0,226.316755910008,88,84,86,88,53
"no",0,32.5113660542575,84,88,74,91,44
"no",5,36.5991682065207,86,74,61,85,56
"no",0,59.2058058881561,80,79,65,83,36
"no",1,20.8234109313267,90,82,84,87,67
"yes",0,13.6562020203637,93,92,89,98,75
"no",4,136.223501970742,98,90,73,100,68
"no",4,15.3580805999408,81,65,49,86,30
"yes",0,18.1443511344539,93,75,76,89,55
"no",2,7.3483476377587,88,90,66,92,72
"yes",0,45.6947936084458,85,78,76,89,34
"no",3,6.22447266354982,85,78,79,87,70
"yes",3,12.6358133850842,78,71,59,83,45
"no",0,65.1362326912836,94,83,75,94,48
"yes",3,9.49214188399672,87,87,78,89,63
"yes",2,7.90373371395959,86,84,66,88,53
"no",2,17.1498994867805,86,67,98,82,76
"no",2,66.8884613389276,85,72,64,92,70
"no",0,3.21429881178501,77,75,55,81,30
"yes",2,41.7458141382708,89,82,81,92,70
"no",0,15.7758617491517,93,82,62,93,41
"yes",2,22.7095121025818,81,69,66,79,43
"no",2,65.0726991475814,86,77,64,89,48
"yes",0,9.2464985373567,88,83,68,91,50
"no",3,14.4755728654064,76,71,82,79,54
"yes",5,11.6506776696221,84,75,72,82,49
"yes",0,18.5209226041177,91,82,50,91,49
"yes",0,38.2322663808155,90,74,61,87,34
"no",0,23.8763070000187,82,71,69,80,37
"yes",2,22.9878177714418,78,81,81,84,51
"no",2,37.5006966494277,89,86,82,94,66
"yes",3,12.8070759947463,89,75,58,92,51
"no",4,14.5059225889709,84,61,79,82,52
"no",0,14.8345240354196,87,89,82,93,63
"no",2,35.3970131138858,95,89,81,99,79
"yes",0,4.70773281130412,91,84,77,93,66
"yes",4,7.6500591790235,74,65,48,80,28
"yes",2,207.908369993323,92,75,83,95,80
"yes",0,5.32509843145236,86,77,55,81,29
"no",2,67.7030752320806,85,84,64,86,47
"no",1,21.5178821639175,94,93,65,95,60
"yes",3,35.1655312177272,82,69,74,85,44
"no",1,84.6927503490577,91,81,76,95,77
"no",3,65.4123398721378,77,72,78,78,43
"no",4,31.4376311561172,90,86,67,96,57
"yes",0,13.0180796340819,84,83,80,87,42
"yes",3,8.03892695568663,83,78,59,90,35
"no",1,33.2932370018385,83,62,73,82,52
"yes",2,41.1113148960265,96,88,74,97,79
"yes",0,12.4377211928425,78,66,72,83,32
"yes",5,90.4653097959407,83,76,83,81,65
"no",1,52.9161002114444,82,78,74,81,49
"no",0,9.60621268114752,92,87,76,90,49
"yes",3,8.50169962845239,93,99,84,94,88
"yes",2,67.354035547859,85,71,58,87,51
"no",3,11.2361043389067,78,78,69,82,49
"no",0,78.1265232388193,89,77,80,91,45
"no",4,55.993598680491,88,80,85,93,86
"yes",0,21.0699691028405,94,87,75,98,60
"yes",0,10.9228083356394,83,82,54,91,37
"no",2,7.56191143686545,85,62,43,86,36
"yes",1,34.7335729997625,85,82,51,81,42
"yes",1,17.765126441993,80,92,84,80,52
"no",0,29.1306229524089,83,76,58,80,34
"no",1,39.0870852416077,78,73,63,84,47
"no",5,8.24242392206953,79,72,74,87,50
"yes",2,7.03988522381869,80,77,63,83,44
"no",1,12.9989809667955,89,63,82,91,66
"no",0,29.4411873788939,88,82,56,94,49
"no",0,15.256500757351,96,79,76,93,61
"no",2,93.4236343116836,81,77,71,87,51
"yes",2,83.526167056879,95,87,89,96,87
"yes",5,19.1136219407821,91,71,77,89,57
"yes",4,0.678578280992552,96,78,62,91,61
"no",0,19.7909506679911,75,78,84,90,31
"yes",2,151.877907803409,86,81,75,88,72
"no",3,23.3424315460045,81,76,65,86,46
"no",3,38.6140482653676,97,85,82,97,75
"no",2,110.071024822195,81,69,45,82,43
"no",0,57.768544953471,87,89,67,91,40
"no",4,17.1426635881046,87,81,68,93,45
"no",0,48.7729216627192,90,71,91,92,47
"no",4,25.7802692648082,82,78,62,87,40
"yes",2,10.4895876828424,86,63,78,89,69
"no",2,11.3893096938424,79,60,64,81,45
"yes",0,16.4104428990767,91,87,84,89,38
"yes",1,38.0313923241285,85,83,76,89,61
"no",3,170.289203961857,84,69,61,81,52
"yes",3,13.9380233310515,89,87,64,85,52
"yes",0,10.8239548570747,79,73,77,79,26
"yes",4,13.3590952815493,81,73,60,81,22
"no",0,32.3625528924738,90,75,79,92,48
"yes",0,7.55438561319847,92,88,82,90,41
"yes",2,37.3777450918908,84,73,77,83,48
"yes",1,37.1700952846866,84,78,57,85,56
"yes",0,73.2392922922389,85,75,88,88,55
"yes",4,36.0201972526257,87,70,63,88,62
"yes",0,11.3039551156787,88,84,79,85,43
"yes",0,23.0048639074947,80,66,81,78,28
"yes",3,35.2485362168946,82,89,70,86,55
"no",0,37.5446977037018,79,92,73,84,38
"no",3,160.911077021672,81,78,59,83,37
"no",3,6.95319280077873,84,78,92,88,79
"no",0,24.6599153076429,89,96,66,85,47
"no",0,10.0470252376032,84,60,77,82,33
"yes",0,32.2300416900138,84,77,63,90,35
"no",3,8.5526336402431,84,85,71,93,55
"no",4,30.0693022560221,88,73,62,88,58
"yes",0,6.41482067622453,83,92,91,83,37
"yes",2,44.0372922431832,85,63,50,80,30
"yes",0,39.528446559887,90,75,74,93,48
"yes",0,4.46540619278472,86,75,91,92,39
"no",2,104.375385823896,88,77,64,89,62
"no",5,24.7121379692748,92,88,90,92,89
"no",5,11.0897175155535,89,68,72,87,58
"yes",2,74.3676683275666,83,71,65,84,48
"yes",1,20.6422992383059,84,74,74,83,57
"no",4,16.8701418876512,87,79,74,82,49
"yes",2,10.2037395220006,82,82,80,85,50
"yes",2,13.4476859765007,84,77,40,76,31
"yes",4,13.0939525717633,90,70,67,90,47
"no",1,47.1800932562095,75,78,68,81,39
"yes",3,102.89646246176,98,98,83,98,92
"yes",4,44.7456694508376,77,73,84,84,54
"yes",2,3.55093689773592,83,78,59,82,26
"yes",0,27.2410524947553,79,87,83,90,54
"yes",2,15.9094330416676,83,59,46,87,34
"no",1,37.8497111058153,87,75,56,85,38
"no",5,41.4700990812873,83,84,77,90,55
"no",0,11.0525768539196,90,72,68,90,46
"yes",0,8.18774036726733,91,83,82,91,47
"no",2,45.1774017143541,95,92,85,93,71
"no",3,27.0883804096694,83,83,80,88,54
"no",1,38.4087600570918,86,88,77,85,62
